emo_detail;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO000576;ABB;;MBT;15;kW;380;30;50;4;1470;--;--;160L;42;3;;;55;F;;Delta;Not Available;;;;254;254;160;;Internal;Horizontal
EMO000349;ABB;;MBT;45;kW;380;88;50;4;1475;;;225M;60;3;;;55;F;;Delta;Available;;;;286/311;356;225;;Internal;Horizontal
EMO000407;TECO;75B23000;AEEBKB;30;kW;380;57;50;4;1480;6312;6212;200LA;55;3;;;55;F;;Delta;Available;;;;305;318;200;;Internal;Horizontal
EMO000436;EBER HARD BAUER;1895530;SG335;0,11;kW;380;0,55;50;4;1390;;;;;3;;;;F;;;Not Available;;;;;;;;Internal;Vertical
EMO000435;ABB;3219691;HXR;75;kW;380;144;50;6;988;6316;6315;280M;;3;;;55;F;;Delta;Available;;;;;;280;;Internal;Horizontal
EMO000438;ABB;3219690;HXR;75;kW;380;144;50;6;988;6316;6315;280M;;3;;;55;F;;Delta;Available;;;;;;280;;Internal;Horizontal
EMO002909;TECO;P9624252;AEBB;55;kW;380;108;50;6;970;NU318;6316;280SC;80;3;;;55;F;;Delta;Available;;;;368;457;280;;Internal;Horizontal
EMO000443;TECO;K9500353-200;AEEBAC;3,7;kW;380;8,41;50;4;1440;6306;6306;112;28;3;;;55;F;;Star;Not Available;;;;140;190;112;;Internal;Horizontal
EMO000445;ABB;3180225;HXR;55;kW;380;112;50;8;740;6319;6316;315;;3;;;55;F;;Delta;Available;;;;;;;;Internal;Horizontal
EMO000446;ABB;3180262;HXR;37;kW;380;71;50;6;984;6315;6313;250;;3;;;55;F;;Delta;Available;;;;;;;;Internal;Horizontal
EMO000447;Rotorni;;XC;30;kW;380;57;50;4;1465;;;200L;;3;;;55;F;;Delta;Available;;;;;;;;Internal;Vertical
EMO000382;ABB;;M2AA;37;kW;380;71;50;4;1470;6313;6313;225;;3;;;55;F;;Delta;Available;;;;;;;;Internal;Horizontal
EMO000452;TECO;7504760021;AEEBKB;75;kW ;380;140;50;4;1475;6316;6213;;;3;;;55;F;;Delta;Available;;;;;;;;Internal;Horizontal
EMO000453;ABB;36B4182500;M2BA;22;kW ;380;42;50;4;1470;6310;6310;180L;;3;0,87;;55;F;;Delta;Not Available;;;;;;;;Internal;Horizontal
